ts,topic,dato
2025-11-18 15:01:27,lan/sala1/sensor/temp,-2.86 °C
2025-11-18 15:01:28,lan/sala1/sensor/hum,85.0 %
2025-11-18 15:01:28,lan/sala2/sensor/temp,82.07 °C
2025-11-18 15:01:29,lan/sala2/sensor/hum,66.0 %
2025-11-18 15:01:30,lan/sala1/sensor/temp,-1.28 °C
2025-11-18 15:01:30,lan/sala1/sensor/hum,85.0 %
2025-11-18 15:01:31,lan/sala2/sensor/temp,83.67 °C
2025-11-18 15:01:31,lan/sala2/sensor/hum,66.0 %
2025-11-18 15:01:32,lan/sala1/sensor/temp,-2.97 °C
2025-11-18 15:01:33,lan/sala1/sensor/hum,83.0 %
2025-11-18 15:01:33,lan/sala2/sensor/temp,82.03 °C
2025-11-18 15:01:34,lan/sala2/sensor/hum,64.0 %
2025-11-18 15:01:35,lan/sala1/sensor/temp,-1.38 °C
2025-11-18 15:01:35,lan/sala1/sensor/hum,85.0 %
2025-11-18 15:01:36,lan/sala2/sensor/temp,84.2 °C
2025-11-18 15:01:36,lan/sala2/sensor/hum,61.0 %
2025-11-18 15:01:37,lan/sala1/sensor/temp,2.33 °C
2025-11-18 15:01:38,lan/sala1/sensor/hum,83.0 %
2025-11-18 15:01:38,lan/sala2/sensor/temp,84.6 °C
2025-11-18 15:01:39,lan/sala2/sensor/hum,58.0 %
2025-11-18 15:01:40,lan/sala1/sensor/temp,-1.87 °C
2025-11-18 15:01:40,lan/sala1/sensor/hum,78.0 %
2025-11-18 15:01:41,lan/sala2/sensor/temp,82.99 °C
2025-11-18 15:01:41,lan/sala2/sensor/hum,56.0 %
2025-11-18 15:01:42,lan/sala1/sensor/temp,0.31 °C
2025-11-18 15:01:43,lan/sala1/sensor/hum,74.0 %
2025-11-18 15:01:43,lan/sala2/sensor/temp,81.69 °C
2025-11-18 15:01:44,lan/sala2/sensor/hum,52.0 %
2025-11-18 15:01:45,lan/sala1/sensor/temp,2.67 °C
2025-11-18 15:01:45,lan/sala1/sensor/hum,72.0 %
2025-11-18 15:01:46,lan/sala2/sensor/temp,81.25 °C
2025-11-18 15:01:46,lan/sala2/sensor/hum,52.0 %
2025-11-18 15:01:47,lan/sala1/sensor/temp,4.83 °C
2025-11-18 15:01:48,lan/sala1/sensor/hum,72.0 %
2025-11-18 15:01:48,lan/sala2/sensor/temp,79.8 °C
2025-11-18 15:01:49,lan/sala2/sensor/hum,48.0 %
2025-11-18 15:01:50,lan/sala1/sensor/temp,3.11 °C
2025-11-18 15:01:50,lan/sala1/sensor/hum,69.0 %
2025-11-18 15:01:51,lan/sala2/sensor/temp,80.09 °C
2025-11-18 15:01:51,lan/sala2/sensor/hum,46.0 %
2025-11-18 15:01:52,lan/sala1/sensor/temp,1.9 °C
2025-11-18 15:01:53,lan/sala1/sensor/hum,68.0 %
2025-11-18 15:01:53,lan/sala2/sensor/temp,80.35 °C
2025-11-18 15:01:54,lan/sala2/sensor/hum,48.0 %
2025-11-18 15:01:55,lan/sala1/sensor/temp,3.68 °C
2025-11-18 15:01:55,lan/sala1/sensor/hum,63.0 %
2025-11-18 15:01:56,lan/sala2/sensor/temp,81.35 °C
2025-11-18 15:01:56,lan/sala2/sensor/hum,47.0 %
2025-11-18 15:01:57,lan/sala1/sensor/temp,5.89 °C
2025-11-18 15:01:58,lan/sala1/sensor/hum,62.0 %
2025-11-18 15:01:58,lan/sala2/sensor/temp,80.61 °C
2025-11-18 15:01:59,lan/sala2/sensor/hum,47.0 %
2025-11-18 15:02:00,lan/sala1/sensor/temp,6.7 °C
2025-11-18 15:02:00,lan/sala1/sensor/hum,63.0 %
2025-11-18 15:02:01,lan/sala2/sensor/temp,84.12 °C
2025-11-18 15:02:01,lan/sala2/sensor/hum,46.0 %
2025-11-18 15:02:02,lan/sala1/sensor/temp,6.45 °C
2025-11-18 15:02:03,lan/sala1/sensor/hum,65.0 %
2025-11-18 15:02:03,lan/sala2/sensor/temp,83.54 °C
2025-11-18 15:02:04,lan/sala2/sensor/hum,46.0 %
2025-11-18 15:02:05,lan/sala1/sensor/temp,6.32 °C
2025-11-18 15:02:05,lan/sala1/sensor/hum,67.0 %
2025-11-18 15:02:06,lan/sala2/sensor/temp,83.71 °C
2025-11-18 15:02:06,lan/sala2/sensor/hum,42.0 %
2025-11-18 15:02:07,lan/sala1/sensor/temp,5.6 °C
2025-11-18 15:02:08,lan/sala1/sensor/hum,70.0 %
2025-11-18 15:02:08,lan/sala2/sensor/temp,84.43 °C
2025-11-18 15:02:09,lan/sala2/sensor/hum,41.0 %
2025-11-18 15:02:10,lan/sala1/sensor/temp,6.24 °C
2025-11-18 15:02:10,lan/sala1/sensor/hum,67.0 %
2025-11-18 15:02:11,lan/sala2/sensor/temp,84.01 °C
2025-11-18 15:02:11,lan/sala2/sensor/hum,40.0 %
2025-11-18 15:02:12,lan/sala1/sensor/temp,2.49 °C
2025-11-18 15:02:13,lan/sala1/sensor/hum,68.0 %
2025-11-18 15:02:13,lan/sala2/sensor/temp,84.68 °C
