topic,dato
lan/sala1/sensor/temp,-0.91 °C
lan/sala1/sensor/hum,27.0 %
lan/sala2/sensor/temp,23.29 °C
lan/sala2/sensor/hum,30.0 %
lan/sala1/sensor/temp,0.65 °C
lan/sala1/sensor/hum,31.0 %
lan/sala2/sensor/temp,22.94 °C
lan/sala2/sensor/hum,35.0 %
lan/sala1/sensor/temp,-0.48 °C
lan/sala1/sensor/hum,33.0 %
lan/sala2/sensor/temp,23.02 °C
lan/sala2/sensor/hum,34.0 %
lan/sala1/sensor/temp,2.74 °C
lan/sala1/sensor/hum,32.0 %
lan/sala2/sensor/temp,22.39 °C
lan/sala2/sensor/hum,38.0 %
lan/sala1/sensor/temp,-1.76 °C
lan/sala1/sensor/hum,35.0 %
lan/sala2/sensor/temp,20.78 °C
lan/sala2/sensor/hum,35.0 %
lan/sala1/sensor/temp,-0.8 °C
lan/sala1/sensor/hum,36.0 %
lan/sala2/sensor/temp,18.09 °C
lan/sala2/sensor/hum,35.0 %
lan/sala1/sensor/temp,-0.27 °C
lan/sala1/sensor/hum,37.0 %
lan/sala2/sensor/temp,17.56 °C
lan/sala2/sensor/hum,36.0 %
lan/sala1/sensor/temp,-1.63 °C
lan/sala1/sensor/hum,37.0 %
lan/sala2/sensor/temp,17.61 °C
lan/sala2/sensor/hum,36.0 %
lan/sala1/sensor/temp,-2.19 °C
lan/sala1/sensor/hum,38.0 %
lan/sala2/sensor/temp,15.81 °C
lan/sala2/sensor/hum,34.0 %
lan/sala1/sensor/temp,-1.12 °C
lan/sala1/sensor/hum,38.0 %
lan/sala2/sensor/temp,15.96 °C
lan/sala2/sensor/hum,33.0 %
lan/sala1/sensor/temp,-2.18 °C
lan/sala1/sensor/hum,41.0 %
lan/sala2/sensor/temp,16.43 °C
lan/sala2/sensor/hum,33.0 %
lan/sala1/sensor/temp,-0.59 °C
lan/sala1/sensor/hum,40.0 %
lan/sala2/sensor/temp,12.3 °C
lan/sala2/sensor/hum,32.0 %
lan/sala1/sensor/temp,-6.02 °C
lan/sala1/sensor/hum,40.0 %
lan/sala2/sensor/temp,13.53 °C
lan/sala2/sensor/hum,30.0 %
